,HR,O2Sat,Temp,SBP,MAP,DBP,Resp,EtCO2,BaseExcess,HCO3,FiO2,pH,PaCO2,SaO2,AST,BUN,Alkalinephos,Calcium,Chloride,Creatinine,Bilirubin_direct,Glucose,Lactate,Magnesium,Phosphate,Potassium,Bilirubin_total,TroponinI,Hct,Hgb,PTT,WBC,Fibrinogen,Platelets,Age,Gender,HospAdmTime,ICULOS
FiO2,0.003951046687022049,-0.0007180202779464573,-0.005342979791887476,-0.0046060367082481155,-0.004029730302047227,-0.0029334517814990782,-0.00010404605885648738,-0.05934495971339355,-0.13070762549547613,-0.08303534981934446,1.0,-0.004230181931805521,-0.0013188763673891027,0.0009020534066726781,0.05593011884288256,-0.07073747533697226,-0.028807403995874562,-0.00735851098728707,0.08340295771415007,-0.04791765653791233,-0.030520130382942705,0.004931609797574819,0.005613561451889734,-0.007035870893941119,0.1216190722540217,-0.006910513384363398,-0.028165135102079287,0.1211426154029829,0.020233879771811576,0.007899329004875283,0.0680813068797454,0.10199899070460938,-0.13852535628797755,-0.056473837594036944,0.0007122386951599528,0.003066903503104277,-0.0005803954960415314,-0.0038267638064088394
pH,-0.09981588465046559,0.11334581457748906,0.20564336187170382,0.12264758338125009,0.09436957208487362,0.06446557160028285,0.008306802981321132,-0.04790608176170407,0.6506212227762252,0.4007548418109292,-0.004230181931805521,1.0,-0.4368617715156331,0.09702701022852532,-0.02371094318735933,-0.1497598941067636,-0.03441860943329542,0.08168362942158518,-0.1545869477049197,-0.173751158204991,0.09021846716651191,-0.17123812775250905,-0.3697644478100152,-0.018696134636402743,-0.39579846640942584,-0.2724700987297598,0.08126402685772989,-0.007416250853498155,-0.0848236104090793,-0.03998123147630929,-0.20133916327969173,-0.1457879806337541,0.13513531444331256,0.015372391122385805,0.002639671815008988,0.010258179986321942,-0.011174026690387188,0.1495059265004527
PaCO2,0.02531555599002701,-0.1181990725609154,-0.044499094199509454,0.010828418235872541,0.0009041174459686269,0.000858730119663002,-0.03127800534999289,0.43041405715536685,0.35254481391842724,0.5386531055526804,-0.0013188763673891027,-0.4368617715156331,1.0,-0.12147629654003488,-0.07173865957097535,-0.038348727594059356,-0.08643513020984078,0.0786236225363788,-0.20457816167410195,-0.07804512647502324,0.004634676708917378,0.002323885375802497,-0.10349625176688945,0.006347591491436048,0.09620516196336235,0.08570559943903726,-0.06978841954105765,-0.06542463565671332,0.05723471353143239,0.03358743969573515,-0.0351633249282554,-0.0016280753916369174,0.009090416198066354,0.08201078622879099,-0.027955027154081376,0.002932612317112969,-0.008015948564284694,0.007349923941888455
SaO2,-0.010730960178901539,0.10322452995293156,-0.009446260446341878,0.10600154496594899,0.09012224868502856,0.06466164493848295,-0.023561728389757387,0.056738904337149086,0.04430244344520722,0.007461740137364637,0.0009020534066726781,0.09702701022852532,-0.12147629654003488,1.0,0.01371777783729162,-0.017824429250456585,0.006917169809839775,-0.27722406525575477,-0.01507187151391337,0.02957287220274624,-0.1352814417176468,0.039501533081132564,-0.038480697005124145,-0.0368731838491953,-0.04389237128566155,-0.025725966608786874,0.0492846226748884,-0.05257526098142657,-0.051776754470937825,-0.052713613526454366,-0.08996884584173419,-0.03944394172046429,0.013542113156658505,-0.009540011354338485,-0.09494853397338987,0.01112532225227007,-0.013608127237304533,-0.0028096107573160134
AST,0.05734212588928845,-0.015069040439668382,-0.0057616759026479294,-0.0008877441275035342,0.009768563328894638,0.008927321619286657,0.02428006240156246,-0.16848689187568194,-0.029664354214288657,-0.10226981166462047,0.05593011884288256,-0.02371094318735933,-0.07173865957097535,0.01371777783729162,1.0,0.03831921370549946,0.09416587241647573,-0.041306928441559226,-0.07779371982349936,0.03971573798965852,0.14308641943663947,0.03686984611190734,0.3118700652960455,0.025827658355974375,0.14890902626275818,0.06405923106631888,0.17755950921416883,0.11977805678142733,-0.030908416943534148,0.005661067258591381,0.07748129165458363,0.025424198594857134,-0.20160465191662852,-0.14599991491851727,-0.10135218691109338,0.008539615908106847,0.0279649097312213,0.01923065947397553
BUN,-0.02659960663827825,-0.04502696675055477,-0.11775899037412974,0.004796300925951043,-0.046400543013781395,-0.04359475326771674,0.06976665691571476,-0.03884601507642808,-0.19341893094714535,-0.17249349188982338,-0.07073747533697226,-0.1497598941067636,-0.038348727594059356,-0.017824429250456585,0.03831921370549946,1.0,0.11694105142152675,0.06568339942232526,-0.12933191058735563,0.6239336933126063,0.23423801747529086,0.0870468286037722,0.040387138968980246,0.22540776970422052,0.5341148043948466,0.2609171961540027,0.15318883230653552,-0.02407907550512952,-0.14026798540917265,-0.16549842438156098,0.07901849627389096,0.023408789419425622,0.07744806377842485,-0.0676897477102744,0.184606733758237,0.08108335620411523,-0.1008481983414007,0.12271689018544142
Alkalinephos,0.05213628017429464,-0.019154863717520298,-0.03724190074859877,-0.029191503870984195,-0.019275696664839675,4.09029091519035e-05,0.06598968669853868,-0.0761953090819573,-0.09741336623077859,-0.08854999062360883,-0.028807403995874562,-0.03441860943329542,-0.08643513020984078,0.006917169809839775,0.09416587241647573,0.11694105142152675,1.0,-0.006432909723949125,-0.13176553854526435,0.0636541414840169,0.13991900376046434,-0.01135623299579662,0.12644806036609435,0.01707088136532782,0.08433946305966968,0.05162116096021321,0.17866006233071435,-0.055504096159616136,-0.06838074839701744,-0.08430628178874104,0.0004146061499287016,0.07056590026327064,0.08925927207940756,0.06965253226904887,-0.017781132732046918,-0.0035807842477060723,-0.09773272371830741,0.047531530097455976
Calcium,-0.09612357007731218,-0.039467651879866276,0.010313006058968037,0.04432999928661534,0.03260639422972283,0.06714382964324409,0.012642183205087757,0.09163586300079346,0.19982919585773984,0.23430341087246873,-0.00735851098728707,0.08168362942158518,0.0786236225363788,-0.27722406525575477,-0.041306928441559226,0.06568339942232526,-0.006432909723949125,1.0,-0.11979439709196571,0.05032055693467614,0.0583101441983335,-0.03300096820563857,-0.03233816131134707,0.06278228922371291,0.07900459711608163,-0.03638559197785866,0.0610539787164608,-0.007545804184236696,0.2165205778226472,0.20158872666135333,-0.020751804867399335,-0.0672518618916711,0.07280695856529767,0.11351301482617061,-0.01042608369004901,-0.042485801067241306,0.06249187337603337,0.05165357767079292
Chloride,0.013944047734096366,0.15918569982343322,-0.04417769594370497,-0.038787692996809876,-0.0038503226751553893,-0.0014194448626567607,-0.07986596052531574,-0.0416744052463592,-0.31416036202156505,-0.3847675775358245,0.08340295771415007,-0.1545869477049197,-0.20457816167410195,-0.01507187151391337,-0.07779371982349936,-0.12933191058735563,-0.13176553854526435,-0.11979439709196571,1.0,-0.19294057589406305,-0.16125964262013368,-0.09150819006008017,-0.019519959360178165,-0.024386354751214083,-0.21934859684246547,-0.03639694032011967,-0.13784870543796887,0.06346955046361476,-0.07951206658505271,-0.05990240981813629,-0.027302965715395606,0.015001331881726773,-0.12769104552120195,-0.14825442866814603,-0.0013971740652096334,-0.018409793189731037,0.06289494530617334,-0.07894082997430212
Creatinine,-0.018582918187389667,-0.013802753380940802,-0.08349331091811185,0.07870619429379265,0.06376129415231026,0.0588373224139369,0.022274734497417632,-0.062286773107305904,-0.23537433110642783,-0.18720940438918046,-0.04791765653791233,-0.173751158204991,-0.07804512647502324,0.02957287220274624,0.03971573798965852,0.6239336933126063,0.0636541414840169,0.05032055693467614,-0.19294057589406305,1.0,0.02651353846605896,0.014030154502746403,0.11315833218411651,0.11803978209801362,0.5486153292507108,0.2677029732110297,0.040118708683401796,-0.036462847035999786,-0.1006487326503476,-0.13418157162713104,0.07271964756728391,-0.035304714173612146,0.0697019509836607,-0.04988198947235232,-0.028745068308205758,0.0763467394141984,-0.021363971661092662,0.019321029636863975
Bilirubin_direct,0.029377072673560867,0.0008181914673331146,-0.026787547335973615,-0.046879543262342074,-0.05875381332097689,-0.04114419737667831,-0.0101136421329916,-0.1173915417365613,0.015443944358907748,-0.0729864940597831,-0.030520130382942705,0.09021846716651191,0.004634676708917378,-0.1352814417176468,0.14308641943663947,0.23423801747529086,0.13991900376046434,0.0583101441983335,-0.16125964262013368,0.02651353846605896,1.0,0.02769290198937252,-0.006510024070482858,0.10393007397018031,0.14870131935799025,0.0675619157515334,0.9639869113540392,0.036430558910687125,-0.15168401992993155,-0.06942255063830122,0.11451085808116905,0.010572570272385059,-0.18282985179393035,-0.2336552227130722,-0.10820444946223103,0.03894919352836227,-0.24974826104409867,0.1536204119950907
Glucose,0.08363849733173673,-0.02791391916531808,-0.07115252549512742,0.04627650755211015,0.043359840152385976,0.04180682201106976,0.03708642681359166,-0.0073781435778349684,-0.16415846035512996,-0.12544320570657055,0.004931609797574819,-0.17123812775250905,0.002323885375802497,0.039501533081132564,0.03686984611190734,0.0870468286037722,-0.01135623299579662,-0.03300096820563857,-0.09150819006008017,0.014030154502746403,0.02769290198937252,1.0,0.25340339328438233,-0.004617565424733074,0.0016335213421500663,0.06677585651959995,-0.020063186962758797,0.069443990340896,0.01211846772580859,0.014993067964079154,0.061735089950172885,0.07750259662497118,-0.07747085778438793,-0.007481788331749982,-0.01436142135170327,-0.002431279292928195,0.015280484532996377,-0.022184815069408063
Lactate,0.1447318947365277,-0.1711448722922597,-0.22680486422834586,-0.12540047441923455,-0.07588274340111716,-0.042662131628588285,0.13371964005190493,-0.294802760542922,-0.4478992786965003,-0.40600133650398396,0.005613561451889734,-0.3697644478100152,-0.10349625176688945,-0.038480697005124145,0.3118700652960455,0.040387138968980246,0.12644806036609435,-0.03233816131134707,-0.019519959360178165,0.11315833218411651,-0.006510024070482858,0.25340339328438233,1.0,0.061051726939160396,0.36141154683046145,0.09689912229124732,0.07991044933969839,0.15889834971497876,-0.06196147863921145,-0.07585064555224671,0.32851403519307776,0.09883674768288986,-0.2300564849836498,-0.182062641608809,-0.010881702405428935,0.02358373910211199,0.0019507811927305966,-0.07580627188144443
Magnesium,-0.06452659001993213,-0.024578017321522157,-0.048120000650799105,-0.02683959564020786,-0.041071621394753434,-0.04364492728047118,-0.005325094641736829,0.043636184897210294,-0.004635845990817335,0.02692710629141995,-0.007035870893941119,-0.018696134636402743,0.006347591491436048,-0.0368731838491953,0.025827658355974375,0.22540776970422052,0.01707088136532782,0.06278228922371291,-0.024386354751214083,0.11803978209801362,0.10393007397018031,-0.004617565424733074,0.061051726939160396,1.0,0.1338775377002286,0.16253827774227428,0.08999877336906452,0.010370681316376537,0.0027995962194474595,-0.006855232715449018,0.0289684835249777,0.03883291930989646,0.04981321448228015,-0.00628255448077213,0.06827021590344078,0.0027690088271622453,-0.011499937550247993,0.10110163240376353
Phosphate,-0.046568693772433646,-0.04873604063293041,-0.1519264767440951,-0.02684187880487405,-0.03363834243463221,-0.02927731951718854,-0.032336722247321495,0.023024763175297645,-0.32060016647265066,-0.13802550653667398,0.1216190722540217,-0.39579846640942584,0.09620516196336235,-0.04389237128566155,0.14890902626275818,0.5341148043948466,0.08433946305966968,0.07900459711608163,-0.21934859684246547,0.5486153292507108,0.14870131935799025,0.0016335213421500663,0.36141154683046145,0.1338775377002286,1.0,0.37906081170950184,0.1202647250114774,0.029837766677983157,-0.05269777456833751,-0.07725367566816754,0.10921873978639304,0.04080136304962812,-0.06344525926324306,0.007193938363681377,0.023247438974287767,0.032842983080124254,-0.0458961568107749,-0.016679451439427
Potassium,0.011283449261137515,-0.023148801512770576,0.05330801278492706,-0.09534448744460362,-0.09638297174361944,-0.09466885171238504,0.0095784691872608,-0.042816514042219304,-0.23263907909459855,-0.15525597864785945,-0.006910513384363398,-0.2724700987297598,0.08570559943903726,-0.025725966608786874,0.06405923106631888,0.2609171961540027,0.05162116096021321,-0.03638559197785866,-0.03639694032011967,0.2677029732110297,0.0675619157515334,0.06677585651959995,0.09689912229124732,0.16253827774227428,0.37906081170950184,1.0,0.0028392879974900504,0.033542013095172775,-0.04877565219718233,-0.056673936212686654,0.0366438679027439,0.08138895949970877,-0.02793013986647963,-0.02024178108416416,0.05494125014562499,0.09108272144844655,-0.022793623497886453,-0.045825986315293415
Bilirubin_total,0.02079354734869943,-0.016952486500237795,-0.02517982255806416,-0.0296444752597194,-0.03873980457508981,-0.029196647021240967,0.0123788333271107,-0.1262070468766014,0.04362488056622187,-0.08749644461768509,-0.028165135102079287,0.08126402685772989,-0.06978841954105765,0.0492846226748884,0.17755950921416883,0.15318883230653552,0.17866006233071435,0.0610539787164608,-0.13784870543796887,0.040118708683401796,0.9639869113540392,-0.020063186962758797,0.07991044933969839,0.08999877336906452,0.1202647250114774,0.0028392879974900504,1.0,0.02684537792830901,-0.09775000846668604,-0.049892469285029536,0.05471036472289701,0.008740480124771596,-0.23227151371329513,-0.23258955209209942,-0.11658092596695782,0.03495128730839547,-0.12373700356009372,0.238900733943477
TroponinI,0.0046611364213436715,-0.0031445633647936865,0.014464685496982231,-0.10451535813110825,-0.05102356606688513,-0.012078555009108222,0.011235120590090663,-0.008237726754523809,0.022170824715783917,-0.10388793433726591,0.1211426154029829,-0.007416250853498155,-0.06542463565671332,-0.05257526098142657,0.11977805678142733,-0.02407907550512952,-0.055504096159616136,-0.007545804184236696,0.06346955046361476,-0.036462847035999786,0.036430558910687125,0.069443990340896,0.15889834971497876,0.010370681316376537,0.029837766677983157,0.033542013095172775,0.02684537792830901,1.0,0.09401315934954936,0.1097004794877833,0.15021072471427183,0.060132026251856534,-0.016865968682108098,0.0005148019234870406,-0.01109765912083482,0.09903135390446222,0.03401807229996597,0.04461856130527585
Hct,-0.08078049523336167,-0.11892824559689924,-0.042780562052387755,0.09449553867606568,0.17781270514225847,0.2364470130342835,0.01969525822648094,0.1020655840170017,-0.049356257225692944,0.048257742525423704,0.020233879771811576,-0.0848236104090793,0.05723471353143239,-0.051776754470937825,-0.030908416943534148,-0.14026798540917265,-0.06838074839701744,0.2165205778226472,-0.07951206658505271,-0.1006487326503476,-0.15168401992993155,0.01211846772580859,-0.06196147863921145,0.0027995962194474595,-0.05269777456833751,-0.04877565219718233,-0.09775000846668604,0.09401315934954936,1.0,0.9522081538794542,-0.018244568774868658,0.022713258461843234,0.1199442743899373,0.13773553776267777,-0.060350269722403975,0.07917812541106327,0.116025453183787,-0.09592358914862026
Hgb,-0.08051893749825757,-0.10211340129216338,-0.034831327437461215,0.07569902057408479,0.1493658371791032,0.2086882163847521,0.002802442084910475,0.07007220213793718,-0.03330201885739897,0.02637096908304999,0.007899329004875283,-0.03998123147630929,0.03358743969573515,-0.052713613526454366,0.005661067258591381,-0.16549842438156098,-0.08430628178874104,0.20158872666135333,-0.05990240981813629,-0.13418157162713104,-0.06942255063830122,0.014993067964079154,-0.07585064555224671,-0.006855232715449018,-0.07725367566816754,-0.056673936212686654,-0.049892469285029536,0.1097004794877833,0.9522081538794542,1.0,-0.03937865944394227,0.022633472208194325,0.07820631355203657,0.07827840077399596,-0.08320451506244163,0.1184058023356351,0.12368761470328483,-0.10963862236500375
PTT,0.01053935482055387,-0.07253081698465542,-0.11390361786821351,-0.1022426416984621,-0.06675271556499447,-0.04617036855946267,0.059922078048340426,-0.18041836781956794,-0.23137112077244365,-0.1309430715618753,0.0680813068797454,-0.20133916327969173,-0.0351633249282554,-0.08996884584173419,0.07748129165458363,0.07901849627389096,0.0004146061499287016,-0.020751804867399335,-0.027302965715395606,0.07271964756728391,0.11451085808116905,0.061735089950172885,0.32851403519307776,0.0289684835249777,0.10921873978639304,0.0366438679027439,0.05471036472289701,0.15021072471427183,-0.018244568774868658,-0.03937865944394227,1.0,0.0009453729209731382,-0.09745525083952547,-0.03764516807996497,0.06857657798349646,-0.016293183061629284,-0.010870475153472253,0.03467184354026269
WBC,0.13234890615022166,-0.026618337142370017,0.03715825098019124,-0.038851352103764766,-0.04521414808480343,-0.05225018129527652,0.043930139674995865,-0.023125114234348126,-0.16571022598690605,-0.11726374966251552,0.10199899070460938,-0.1457879806337541,-0.0016280753916369174,-0.03944394172046429,0.025424198594857134,0.023408789419425622,0.07056590026327064,-0.0672518618916711,0.015001331881726773,-0.035304714173612146,0.010572570272385059,0.07750259662497118,0.09883674768288986,0.03883291930989646,0.04080136304962812,0.08138895949970877,0.008740480124771596,0.060132026251856534,0.022713258461843234,0.022633472208194325,0.0009453729209731382,1.0,0.03572726430974458,0.15253265855464004,0.008063959426434642,-0.002622590286785291,-0.019996609599053746,0.0047859906952913865
Fibrinogen,0.07518476555240931,-0.07444941625368465,0.25569017989709714,0.04951440905999163,0.04865315615138769,0.043012199207584284,0.11218616299618518,0.16781155301951967,0.12376607250052286,0.09830524789473012,-0.13852535628797755,0.13513531444331256,0.009090416198066354,0.013542113156658505,-0.20160465191662852,0.07744806377842485,0.08925927207940756,0.07280695856529767,-0.12769104552120195,0.0697019509836607,-0.18282985179393035,-0.07747085778438793,-0.2300564849836498,0.04981321448228015,-0.06344525926324306,-0.02793013986647963,-0.23227151371329513,-0.016865968682108098,0.1199442743899373,0.07820631355203657,-0.09745525083952547,0.03572726430974458,1.0,0.33863615737162606,0.018532721861704456,-0.03298826285545004,-0.0003930820862889096,0.10603389125179702
Platelets,0.026031932809206883,-0.024119272827883804,0.0004583372402673913,0.026491454554655732,0.0450859197140108,0.08719031051662883,0.06627094553164299,0.17653215652494042,0.07922120593272423,0.09284226795173309,-0.056473837594036944,0.015372391122385805,0.08201078622879099,-0.009540011354338485,-0.14599991491851727,-0.0676897477102744,0.06965253226904887,0.11351301482617061,-0.14825442866814603,-0.04988198947235232,-0.2336552227130722,-0.007481788331749982,-0.182062641608809,-0.00628255448077213,0.007193938363681377,-0.02024178108416416,-0.23258955209209942,0.0005148019234870406,0.13773553776267777,0.07827840077399596,-0.03764516807996497,0.15253265855464004,0.33863615737162606,1.0,-0.05034797978886883,-0.11072912486604149,0.005465450648708745,-0.03653346983433723
Age,-0.15725457309799623,-0.0491948309469163,-0.0709714145339337,0.024524333382277597,-0.14873828404013978,-0.26553986100955984,0.032597320652523326,-0.17640575577830403,-0.041593674602935504,0.020912881857368865,0.0007122386951599528,0.002639671815008988,-0.027955027154081376,-0.09494853397338987,-0.10135218691109338,0.184606733758237,-0.017781132732046918,-0.01042608369004901,-0.0013971740652096334,-0.028745068308205758,-0.10820444946223103,-0.01436142135170327,-0.010881702405428935,0.06827021590344078,0.023247438974287767,0.05494125014562499,-0.11658092596695782,-0.01109765912083482,-0.060350269722403975,-0.08320451506244163,0.06857657798349646,0.008063959426434642,0.018532721861704456,-0.05034797978886883,1.0,-0.030519530871978066,-0.009469733674068042,0.010453142198306672
Gender,-0.03085053769386279,-0.03128106285777201,0.052945117620509304,-0.015066308042552837,0.0022637076762264774,0.026216391505673103,0.002871375537081074,-0.032540480343335475,0.023431181548421887,0.03976028536919903,0.003066903503104277,0.010258179986321942,0.002932612317112969,0.01112532225227007,0.008539615908106847,0.08108335620411523,-0.0035807842477060723,-0.042485801067241306,-0.018409793189731037,0.0763467394141984,0.03894919352836227,-0.002431279292928195,0.02358373910211199,0.0027690088271622453,0.032842983080124254,0.09108272144844655,0.03495128730839547,0.09903135390446222,0.07917812541106327,0.1184058023356351,-0.016293183061629284,-0.002622590286785291,-0.03298826285545004,-0.11072912486604149,-0.030519530871978066,1.0,-0.0008336246177200053,0.014102619430767786
HospAdmTime,-0.054157704978126824,-0.01030666936561011,0.001160637267183202,0.03481946495021814,0.0374958304349361,0.044143481932528865,-0.02674431533158729,0.006955561703794624,-0.01626758436198846,-0.014731471449393373,-0.0005803954960415314,-0.011174026690387188,-0.008015948564284694,-0.013608127237304533,0.0279649097312213,-0.1008481983414007,-0.09773272371830741,0.06249187337603337,0.06289494530617334,-0.021363971661092662,-0.24974826104409867,0.015280484532996377,0.0019507811927305966,-0.011499937550247993,-0.0458961568107749,-0.022793623497886453,-0.12373700356009372,0.03401807229996597,0.116025453183787,0.12368761470328483,-0.010870475153472253,-0.019996609599053746,-0.0003930820862889096,0.005465450648708745,-0.009469733674068042,-0.0008336246177200053,1.0,-0.06445582162202691
