Feature_A,Feature_B,Correlation
Fibrinogen,BUN,0.0774
Creatinine,Gender,0.0763
Hgb,SBP,0.0757
Fibrinogen,HR,0.0752
Fibrinogen,Calcium,0.0728
PTT,Creatinine,0.0727
EtCO2,DBP,0.0707
Alkalinephos,WBC,0.0706
Hgb,EtCO2,0.0701
HR,MAP,0.0698
BUN,Resp,0.0698
Creatinine,Fibrinogen,0.0697
Platelets,Alkalinephos,0.0697
TroponinI,Glucose,0.0694
Age,PTT,0.0686
Age,Magnesium,0.0683
FiO2,PTT,0.0681
Potassium,Bilirubin_direct,0.0676
DBP,Calcium,0.0671
Potassium,Glucose,0.0668
Resp,Platelets,0.0663
Alkalinephos,Resp,0.066
Calcium,BUN,0.0657
SaO2,DBP,0.0647
DBP,pH,0.0645
Potassium,AST,0.0641
MAP,Creatinine,0.0638
Alkalinephos,Creatinine,0.0637
Chloride,TroponinI,0.0635
Chloride,HospAdmTime,0.0629
Calcium,Magnesium,0.0628
Calcium,HospAdmTime,0.0625
DBP,Resp,0.0619
PTT,Glucose,0.0617
Calcium,Bilirubin_total,0.0611
Magnesium,Lactate,0.0611
WBC,TroponinI,0.0601
Resp,PTT,0.0599
Creatinine,DBP,0.0588
Bilirubin_direct,Calcium,0.0583
HCO3,SBP,0.0581
AST,HR,0.0573
PaCO2,Hct,0.0572
EtCO2,SaO2,0.0567
SBP,ICULOS,0.0563
AST,FiO2,0.0559
Potassium,Age,0.0549
PTT,Bilirubin_total,0.0547
Potassium,Temp,0.0533
Gender,Temp,0.0529
HR,Alkalinephos,0.0521
Calcium,ICULOS,0.0517
Potassium,Alkalinephos,0.0516
Calcium,Creatinine,0.0503
Fibrinogen,Magnesium,0.0498
Fibrinogen,SBP,0.0495
Bilirubin_total,SaO2,0.0493
Resp,MAP,0.0491
MAP,Fibrinogen,0.0487
Hct,HCO3,0.0483
ICULOS,Alkalinephos,0.0475
SBP,Glucose,0.0463
SBP,Resp,0.0459
HR,ICULOS,0.0454
Platelets,MAP,0.0451
ICULOS,TroponinI,0.0446
SBP,Calcium,0.0443
SaO2,BaseExcess,0.0443
DBP,HospAdmTime,0.0441
WBC,Resp,0.0439
EtCO2,Magnesium,0.0436
Bilirubin_total,BaseExcess,0.0436
MAP,Glucose,0.0434
DBP,Fibrinogen,0.043
Glucose,DBP,0.0418
Phosphate,WBC,0.0408
Lactate,BUN,0.0404
Creatinine,Bilirubin_total,0.0401
Gender,HCO3,0.0398
Creatinine,AST,0.0397
SaO2,Glucose,0.0395
Bilirubin_direct,Gender,0.0389
Magnesium,WBC,0.0388
BUN,AST,0.0383
MAP,HospAdmTime,0.0375
WBC,Temp,0.0372
Glucose,Resp,0.0371
Glucose,AST,0.0369
Potassium,PTT,0.0366
TroponinI,Bilirubin_direct,0.0364
Fibrinogen,WBC,0.0357
Bilirubin_total,Gender,0.035
SBP,HospAdmTime,0.0348
ICULOS,PTT,0.0347
TroponinI,HospAdmTime,0.034
PaCO2,Hgb,0.0336
TroponinI,Potassium,0.0335
Phosphate,Gender,0.0328
MAP,ICULOS,0.0326
Calcium,MAP,0.0326
Resp,Age,0.0326
BaseExcess,O2Sat,0.0324
TroponinI,Phosphate,0.0298
Creatinine,SaO2,0.0296
HR,Bilirubin_direct,0.0294
PTT,Magnesium,0.029
AST,HospAdmTime,0.028
Bilirubin_direct,Glucose,0.0277
Magnesium,HCO3,0.0269
Bilirubin_total,TroponinI,0.0268
Bilirubin_direct,Creatinine,0.0265
Platelets,SBP,0.0265
HCO3,Hgb,0.0264
DBP,Gender,0.0262
HR,Platelets,0.026
AST,Magnesium,0.0258
MAP,O2Sat,0.0256
WBC,AST,0.0254
PaCO2,HR,0.0253
SBP,O2Sat,0.0249
Age,SBP,0.0245
AST,Resp,0.0243
DBP,HCO3,0.0236
Gender,Lactate,0.0236
Gender,BaseExcess,0.0234
BUN,WBC,0.0234
Age,Phosphate,0.0232
Phosphate,EtCO2,0.023
Hct,WBC,0.0227
WBC,Hgb,0.0226
HR,EtCO2,0.0225
Creatinine,Resp,0.0223
MAP,HCO3,0.0222
TroponinI,BaseExcess,0.0222
HCO3,Age,0.0209
Bilirubin_total,HR,0.0208
FiO2,Hct,0.0202
Hct,Resp,0.0197
Creatinine,ICULOS,0.0193
ICULOS,AST,0.0192
Age,Fibrinogen,0.0185
Magnesium,Alkalinephos,0.0171
Bilirubin_direct,BaseExcess,0.0154
Platelets,pH,0.0154
Glucose,HospAdmTime,0.0153
WBC,Chloride,0.015
Hgb,Glucose,0.015
TroponinI,Temp,0.0145
Gender,ICULOS,0.0141
Glucose,Creatinine,0.014
HR,Chloride,0.0139
SaO2,AST,0.0137
Fibrinogen,SaO2,0.0135
Calcium,Resp,0.0126
DBP,ICULOS,0.0125
Bilirubin_total,Resp,0.0124
Glucose,Hct,0.0121
Potassium,HR,0.0113
TroponinI,Resp,0.0112
Gender,SaO2,0.0111
SBP,PaCO2,0.0108
WBC,Bilirubin_direct,0.0106
HR,PTT,0.0105
Age,ICULOS,0.0105
Magnesium,TroponinI,0.0104
Temp,Calcium,0.0103
pH,Gender,0.0103
MAP,AST,0.0098
Potassium,Resp,0.0096
Fibrinogen,PaCO2,0.0091
DBP,AST,0.0089
WBC,Bilirubin_total,0.0087
AST,Gender,0.0085
pH,Resp,0.0083
Age,WBC,0.0081
Hgb,FiO2,0.0079
HCO3,SaO2,0.0075
PaCO2,ICULOS,0.0073
Phosphate,Platelets,0.0072
EtCO2,HospAdmTime,0.007
Alkalinephos,SaO2,0.0069
Magnesium,PaCO2,0.0063
Hgb,AST,0.0057
Lactate,FiO2,0.0056
Platelets,HospAdmTime,0.0055
Glucose,FiO2,0.0049
BUN,SBP,0.0048
ICULOS,WBC,0.0048
TroponinI,HR,0.0047
Bilirubin_direct,PaCO2,0.0046
HR,FiO2,0.004
FiO2,Gender,0.0031
PaCO2,Gender,0.0029
Gender,Resp,0.0029
Bilirubin_total,Potassium,0.0028
Hgb,Resp,0.0028
Hct,Magnesium,0.0028
Gender,Magnesium,0.0028
Age,pH,0.0026
PaCO2,Glucose,0.0023
SBP,Temp,0.0023
Gender,MAP,0.0023
Lactate,HospAdmTime,0.002
Glucose,Phosphate,0.0016
HospAdmTime,Temp,0.0012
WBC,PTT,0.0009
MAP,PaCO2,0.0009
FiO2,SaO2,0.0009
PaCO2,DBP,0.0009
Bilirubin_direct,O2Sat,0.0008
O2Sat,DBP,0.0008
Age,FiO2,0.0007
Platelets,TroponinI,0.0005
Temp,Platelets,0.0005
Alkalinephos,PTT,0.0004
Alkalinephos,DBP,0.0
Resp,FiO2,-0.0001
HospAdmTime,Fibrinogen,-0.0004
FiO2,HospAdmTime,-0.0006
EtCO2,O2Sat,-0.0007
O2Sat,FiO2,-0.0007
HospAdmTime,Gender,-0.0008
AST,SBP,-0.0009
FiO2,PaCO2,-0.0013
Chloride,Age,-0.0014
DBP,Chloride,-0.0014
WBC,PaCO2,-0.0016
Glucose,Gender,-0.0024
WBC,Gender,-0.0026
SaO2,ICULOS,-0.0028
DBP,FiO2,-0.0029
O2Sat,TroponinI,-0.0031
Gender,Alkalinephos,-0.0036
ICULOS,FiO2,-0.0038
Chloride,MAP,-0.0039
MAP,FiO2,-0.004
pH,FiO2,-0.0042
SBP,FiO2,-0.0046
Glucose,Magnesium,-0.0046
BaseExcess,Magnesium,-0.0046
Magnesium,Resp,-0.0053
FiO2,Temp,-0.0053
AST,Temp,-0.0058
Magnesium,Platelets,-0.0063
Alkalinephos,Calcium,-0.0064
Lactate,Bilirubin_direct,-0.0065
Magnesium,Hgb,-0.0069
Potassium,FiO2,-0.0069
FiO2,Magnesium,-0.007
Calcium,FiO2,-0.0074
EtCO2,Glucose,-0.0074
pH,TroponinI,-0.0074
Glucose,Platelets,-0.0075
Calcium,TroponinI,-0.0075
PaCO2,HospAdmTime,-0.008
EtCO2,TroponinI,-0.0082
SaO2,Temp,-0.0094
Age,HospAdmTime,-0.0095
Platelets,SaO2,-0.0095
Bilirubin_direct,Resp,-0.0101
O2Sat,HospAdmTime,-0.0103
Age,Calcium,-0.0104
SaO2,HR,-0.0107
HospAdmTime,PTT,-0.0109
Lactate,Age,-0.0109
Age,TroponinI,-0.0111
pH,HospAdmTime,-0.0112
Alkalinephos,Glucose,-0.0114
Magnesium,HospAdmTime,-0.0115
DBP,TroponinI,-0.0121
HospAdmTime,SaO2,-0.0136
Creatinine,O2Sat,-0.0138
Age,Glucose,-0.0144
HCO3,HospAdmTime,-0.0147
SBP,Gender,-0.0151
O2Sat,AST,-0.0151
SaO2,Chloride,-0.0151
BaseExcess,HospAdmTime,-0.0163
Gender,PTT,-0.0163
Phosphate,ICULOS,-0.0167
Fibrinogen,TroponinI,-0.0169
O2Sat,Bilirubin_total,-0.017
Alkalinephos,Age,-0.0178
BUN,SaO2,-0.0178
PTT,Hct,-0.0182
Gender,Chloride,-0.0184
HR,Creatinine,-0.0186
pH,Magnesium,-0.0187
O2Sat,Alkalinephos,-0.0192
Alkalinephos,MAP,-0.0193
Chloride,Lactate,-0.0195
WBC,HospAdmTime,-0.02
Bilirubin_total,Glucose,-0.0201
Platelets,Potassium,-0.0202
Calcium,PTT,-0.0208
Creatinine,HospAdmTime,-0.0214
Glucose,ICULOS,-0.0222
Potassium,HospAdmTime,-0.0228
WBC,EtCO2,-0.0231
Potassium,O2Sat,-0.0231
SaO2,Resp,-0.0236
AST,pH,-0.0237
BUN,TroponinI,-0.0241
O2Sat,Platelets,-0.0241
Chloride,Magnesium,-0.0244
Magnesium,O2Sat,-0.0246
Temp,Bilirubin_total,-0.0252
Potassium,SaO2,-0.0257
BUN,HR,-0.0266
WBC,O2Sat,-0.0266
HospAdmTime,Resp,-0.0267
Bilirubin_direct,Temp,-0.0268
Magnesium,SBP,-0.0268
SBP,Phosphate,-0.0268
Chloride,PTT,-0.0273
Glucose,O2Sat,-0.0279
Fibrinogen,Potassium,-0.0279
Age,PaCO2,-0.028
Bilirubin_total,FiO2,-0.0282
Creatinine,Age,-0.0287
Alkalinephos,FiO2,-0.0288
SBP,Alkalinephos,-0.0292
DBP,Bilirubin_total,-0.0292
Phosphate,DBP,-0.0293
SBP,Bilirubin_total,-0.0296
BaseExcess,AST,-0.0297
Temp,O2Sat,-0.0302
Age,Gender,-0.0305
Bilirubin_direct,FiO2,-0.0305
Gender,HR,-0.0309
AST,Hct,-0.0309
Resp,PaCO2,-0.0313
Gender,O2Sat,-0.0313
Resp,Phosphate,-0.0323
Calcium,Lactate,-0.0323
Gender,EtCO2,-0.0325
Gender,Fibrinogen,-0.033
Glucose,Calcium,-0.033
Hgb,BaseExcess,-0.0333
Phosphate,MAP,-0.0336
HR,SBP,-0.0337
Resp,BaseExcess,-0.0339
Alkalinephos,pH,-0.0344
Hgb,Temp,-0.0348
PTT,PaCO2,-0.0352
WBC,Creatinine,-0.0353
Calcium,Potassium,-0.0364
Potassium,Chloride,-0.0364
TroponinI,Creatinine,-0.0365
Platelets,ICULOS,-0.0365
Magnesium,SaO2,-0.0369
Alkalinephos,Temp,-0.0372
Platelets,PTT,-0.0376
BUN,PaCO2,-0.0383
SaO2,Lactate,-0.0385
Bilirubin_total,MAP,-0.0387
Chloride,SBP,-0.0388
BUN,EtCO2,-0.0388
SBP,WBC,-0.0389
PTT,Hgb,-0.0394
SaO2,WBC,-0.0394
O2Sat,Calcium,-0.0395
Hgb,pH,-0.04
Magnesium,MAP,-0.0411
Bilirubin_direct,DBP,-0.0411
HCO3,Resp,-0.0412
Calcium,AST,-0.0413
Age,BaseExcess,-0.0416
EtCO2,Chloride,-0.0417
Calcium,Gender,-0.0425
DBP,Lactate,-0.0427
Temp,Hct,-0.0428
EtCO2,Potassium,-0.0428
BUN,DBP,-0.0436
Magnesium,DBP,-0.0436
SaO2,Phosphate,-0.0439
Temp,Chloride,-0.0442
ICULOS,O2Sat,-0.0442
PaCO2,Temp,-0.0445
BUN,O2Sat,-0.045
WBC,MAP,-0.0452
ICULOS,Potassium,-0.0458
HospAdmTime,Phosphate,-0.0459
PTT,DBP,-0.0462
BUN,MAP,-0.0464
Phosphate,HR,-0.0466
SBP,Bilirubin_direct,-0.0469
EtCO2,pH,-0.0479
FiO2,Creatinine,-0.0479
Temp,Magnesium,-0.0481
O2Sat,Phosphate,-0.0487
Potassium,Hct,-0.0488
Age,O2Sat,-0.0492
BaseExcess,Hct,-0.0494
Platelets,Creatinine,-0.0499
Hgb,Bilirubin_total,-0.0499
Age,Platelets,-0.0503
MAP,TroponinI,-0.051
Hct,SaO2,-0.0518
DBP,WBC,-0.0523
SaO2,TroponinI,-0.0526
Phosphate,Hct,-0.0527
SaO2,Hgb,-0.0527
HR,HospAdmTime,-0.0542
Alkalinephos,TroponinI,-0.0555
Platelets,FiO2,-0.0565
Potassium,Hgb,-0.0567
Bilirubin_direct,MAP,-0.0588
FiO2,EtCO2,-0.0593
Chloride,Hgb,-0.0599
Hct,Age,-0.0604
HCO3,O2Sat,-0.0607
Hct,Lactate,-0.062
Creatinine,EtCO2,-0.0623
Temp,MAP,-0.0625
Fibrinogen,Phosphate,-0.0634
HospAdmTime,ICULOS,-0.0645
Magnesium,HR,-0.0645
PaCO2,TroponinI,-0.0654
MAP,PTT,-0.0668
WBC,Calcium,-0.0673
BUN,Platelets,-0.0677
Alkalinephos,Hct,-0.0684
Hgb,Bilirubin_direct,-0.0694
PaCO2,Bilirubin_total,-0.0698
FiO2,BUN,-0.0707
Temp,Age,-0.071
Temp,Glucose,-0.0712
PaCO2,AST,-0.0717
O2Sat,PTT,-0.0725
Bilirubin_direct,HCO3,-0.073
O2Sat,Fibrinogen,-0.0744
O2Sat,HR,-0.0757
Lactate,ICULOS,-0.0758
Lactate,Hgb,-0.0759
Lactate,MAP,-0.0759
Alkalinephos,EtCO2,-0.0762
Phosphate,Hgb,-0.0773
Fibrinogen,Glucose,-0.0775
AST,Chloride,-0.0778
Creatinine,PaCO2,-0.078
ICULOS,Chloride,-0.0789
Hct,Chloride,-0.0795
Resp,Chloride,-0.0799
Hgb,HR,-0.0805
HR,Hct,-0.0808
FiO2,HCO3,-0.083
Age,Hgb,-0.0832
Creatinine,Temp,-0.0835
Hgb,Alkalinephos,-0.0843
pH,Hct,-0.0848
Alkalinephos,PaCO2,-0.0864
HCO3,Bilirubin_total,-0.0875
HCO3,Alkalinephos,-0.0885
SaO2,PTT,-0.09
BaseExcess,HR,-0.0914
Glucose,Chloride,-0.0915
HCO3,HR,-0.0921
Potassium,DBP,-0.0947
Age,SaO2,-0.0949
SBP,Potassium,-0.0953
Hct,ICULOS,-0.0959
Calcium,HR,-0.0961
MAP,Potassium,-0.0964
Alkalinephos,BaseExcess,-0.0974
PTT,Fibrinogen,-0.0975
HospAdmTime,Alkalinephos,-0.0977
Hct,Bilirubin_total,-0.0978
HR,pH,-0.0998
Creatinine,Hct,-0.1006
HospAdmTime,BUN,-0.1008
AST,Age,-0.1014
Hgb,O2Sat,-0.1021
SBP,PTT,-0.1022
HCO3,AST,-0.1023
Lactate,PaCO2,-0.1035
TroponinI,HCO3,-0.1039
SBP,TroponinI,-0.1045
Temp,DBP,-0.1063
Age,Bilirubin_direct,-0.1082
ICULOS,Hgb,-0.1096
Platelets,Gender,-0.1107
Temp,PTT,-0.1139
Bilirubin_total,Age,-0.1166
HCO3,WBC,-0.1173
EtCO2,Bilirubin_direct,-0.1174
BUN,Temp,-0.1178
PaCO2,O2Sat,-0.1182
O2Sat,Hct,-0.1189
Calcium,Chloride,-0.1198
SaO2,PaCO2,-0.1215
Bilirubin_total,HospAdmTime,-0.1237
SBP,Lactate,-0.1254
Glucose,HCO3,-0.1254
EtCO2,Bilirubin_total,-0.1262
Fibrinogen,Chloride,-0.1277
Chloride,BUN,-0.1293
FiO2,BaseExcess,-0.1307
HCO3,PTT,-0.1309
Chloride,Alkalinephos,-0.1318
Hgb,Creatinine,-0.1342
SaO2,Bilirubin_direct,-0.1353
Bilirubin_total,Chloride,-0.1378
Phosphate,HCO3,-0.138
Fibrinogen,FiO2,-0.1385
BUN,Hct,-0.1403
pH,WBC,-0.1458
Platelets,AST,-0.146
O2Sat,Resp,-0.1475
Chloride,Platelets,-0.1483
Age,MAP,-0.1487
BUN,pH,-0.1498
Bilirubin_direct,Hct,-0.1517
Phosphate,Temp,-0.1519
Chloride,pH,-0.1546
HCO3,Potassium,-0.1553
HR,Age,-0.1573
EtCO2,Resp,-0.1591
Bilirubin_direct,Chloride,-0.1613
BaseExcess,Glucose,-0.1642
Hgb,BUN,-0.1655
BaseExcess,WBC,-0.1657
AST,EtCO2,-0.1685
O2Sat,Lactate,-0.1711
Glucose,pH,-0.1712
HCO3,BUN,-0.1725
pH,Creatinine,-0.1738
EtCO2,Age,-0.1764
PTT,EtCO2,-0.1804
Platelets,Lactate,-0.1821
Fibrinogen,Bilirubin_direct,-0.1828
Creatinine,HCO3,-0.1872
Creatinine,Chloride,-0.1929
BUN,BaseExcess,-0.1934
pH,PTT,-0.2013
AST,Fibrinogen,-0.2016
PaCO2,Chloride,-0.2046
Phosphate,Chloride,-0.2193
Lactate,Temp,-0.2268
Fibrinogen,Lactate,-0.2301
PTT,BaseExcess,-0.2314
Bilirubin_total,Fibrinogen,-0.2323
Platelets,Bilirubin_total,-0.2326
Potassium,BaseExcess,-0.2326
Bilirubin_direct,Platelets,-0.2337
BaseExcess,Creatinine,-0.2354
Bilirubin_direct,HospAdmTime,-0.2497
Age,DBP,-0.2655
pH,Potassium,-0.2725
Calcium,SaO2,-0.2772
Lactate,EtCO2,-0.2948
Chloride,BaseExcess,-0.3142
Phosphate,BaseExcess,-0.3206
Lactate,pH,-0.3698
Chloride,HCO3,-0.3848
Phosphate,pH,-0.3958
Lactate,HCO3,-0.406
PaCO2,pH,-0.4369
Lactate,BaseExcess,-0.4479
